,ExpName,PsNum,Age,Sex,Vision,Date,RunType,Distractor,Target,corrAns,arduino_rt,CurrTrialType,PrevTrialType,CurrAcc,PrevAcc,median_distance,Outlier
631,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Down.png,n,318.0,Congruent,Congruent,Correct,Correct,69.0,False
632,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Right.png,g,511.0,Neutral,Congruent,Correct,Correct,105.0,False
633,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Up.png,j,405.0,Neutral,Neutral,Correct,Correct,64.5,False
634,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Left.png,f,307.0,Incongruent,Neutral,Correct,Correct,76.0,False
635,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Down.png,n,293.0,Neutral,Incongruent,Correct,Correct,145.0,False
636,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Left.png,f,281.0,Neutral,Neutral,Correct,Correct,124.0,False
637,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,327.0,Incongruent,Neutral,Correct,Correct,56.0,False
638,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Left.png,f,335.0,Congruent,Incongruent,Correct,Correct,53.5,False
639,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Down.png,Visual_Stimuli/T_Up.png,j,373.0,Incongruent,Congruent,Correct,Correct,114.0,False
640,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Right.png,g,396.0,Congruent,Incongruent,Correct,Correct,42.0,False
641,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Up.png,j,372.0,Congruent,Congruent,Correct,Correct,63.0,False
642,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Left.png,f,339.0,Congruent,Congruent,Correct,Correct,56.0,False
643,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Up.png,j,383.0,Congruent,Congruent,Correct,Correct,60.0,False
644,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Left.png,f,576.0,Incongruent,Congruent,Correct,Correct,103.0,False
645,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Down.png,n,340.0,Neutral,Incongruent,Correct,Correct,98.0,False
646,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Right.png,Visual_Stimuli/T_Left.png,f,323.0,Incongruent,Neutral,Correct,Correct,60.0,False
647,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Up.png,Visual_Stimuli/T_Up.png,j,511.0,Congruent,Incongruent,Correct,Correct,128.0,False
648,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/D_Left.png,Visual_Stimuli/T_Left.png,f,348.0,Congruent,Congruent,Correct,Correct,62.0,False
649,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Vert.png,Visual_Stimuli/T_Up.png,j,445.0,Neutral,Congruent,Correct,Correct,80.0,False
650,Prime-Probe,90000,,,,2022-09-14_09h48.37.147,Test,Visual_Stimuli/N_Horiz.png,Visual_Stimuli/T_Left.png,f,393.0,Neutral,Neutral,Correct,Correct,65.5,False
